"fertilizer" "water" "plot" "plant" "weight" "mean_weight"
"1" "low" "no water" 1 1 2.09660616694907 2
"2" "medium" "no water" 1 1 6.78265894589665 7
"3" "high" "no water" 1 1 12.4566335482947 12
"4" "low" "water" 1 1 8.89669404603177 8
"5" "medium" "water" 1 1 10.4983025534168 10
"6" "high" "water" 1 1 12.553745243724 12
"7" "low" "no water" 2 1 1.86095685857473 2
"8" "medium" "no water" 2 1 7.50960274381254 7
"9" "high" "no water" 2 1 12.0227185893786 12
"10" "low" "water" 2 1 8.7878897963128 8
"11" "medium" "water" 2 1 10.1091442254392 10
"12" "high" "water" 2 1 11.4767323289772 12
"13" "low" "no water" 3 1 1.85565567592538 2
"14" "medium" "no water" 3 1 7.24077514263066 7
"15" "high" "no water" 3 1 11.3918117864891 12
"16" "low" "water" 3 1 8.15406844814486 8
"17" "medium" "water" 3 1 9.73991084251298 10
"18" "high" "water" 3 1 11.7788430996313 12
"19" "low" "no water" 4 1 1.70034359401203 2
"20" "medium" "no water" 4 1 7.64728891440033 7
"21" "high" "no water" 4 1 12.4176956236953 12
"22" "low" "water" 4 1 7.71699245014917 8
"23" "medium" "water" 4 1 10.3942096750174 10
"24" "high" "water" 4 1 11.417035337244 12
"25" "low" "no water" 1 2 1.73458999687047 2
"26" "medium" "no water" 1 2 6.99947063162873 7
"27" "high" "no water" 1 2 11.7437188174299 12
"28" "low" "water" 1 2 8.62143375625828 8
"29" "medium" "water" 1 2 9.6697085742988 10
"30" "high" "water" 1 2 12.0833121074023 12
"31" "low" "no water" 2 2 1.72339737992895 2
"32" "medium" "no water" 2 2 7.04909070739508 7
"33" "high" "no water" 2 2 11.4266670700306 12
"34" "low" "water" 2 2 7.37503637173594 8
"35" "medium" "water" 2 2 9.89894415871755 10
"36" "high" "water" 2 2 12.0887501624212 12
"37" "low" "no water" 3 2 2.65382366041735 2
"38" "medium" "no water" 3 2 6.32853229772573 7
"39" "high" "no water" 3 2 12.4305415197904 12
"40" "low" "water" 3 2 8.11643750156041 8
"41" "medium" "water" 3 2 10.5211285467505 10
"42" "high" "water" 3 2 12.66454912708 12
"43" "low" "no water" 4 2 2.47297897672538 2
"44" "medium" "no water" 4 2 6.50718724792077 7
"45" "high" "no water" 4 2 11.3920665834284 12
"46" "low" "water" 4 2 7.18539703211514 8
"47" "medium" "water" 4 2 10.0461581192564 10
"48" "high" "water" 4 2 11.9889412884545 12
"49" "low" "no water" 1 3 2.25673895618869 2
"50" "medium" "no water" 1 3 6.88522318099005 7
"51" "high" "no water" 1 3 12.6307579517082 12
