"genotype" "age" "exposure" "y" "mu" "counts"
1 32.0024157685473 0.0857306671620944 1.60297847733277 16.1331787791495 12
1 31.9467134266995 3.34821235155687 1.70894274972021 0.991395070394536 0
2 9.93766866407283 1.1430335544863 0.620681196237888 4.90063526062465 8
2 26.4237815545576 27.5063052106847 -0.312564602984431 0.41074011934268 0
1 41.1990819552488 2.97643962267372 2.15916875185156 1.94631605926005 2
1 6.61367610438777 0.629725654163541 0.351674660358173 0.679150873009769 0
2 40.4817506935306 3.01503218244761 2.02308538918002 9.5319623729893 10
2 38.8732073599416 0.882776689250022 2.08480858871374 1.69971985304707 5
2 5.39995816170955 4.65324846875337 0.15978134350192 0.662704904989633 0
2 17.2207871186771 1.82255536317825 0.939535665055306 5.24040973938392 6
2 8.58869355126924 2.48256989521906 0.463930017882191 1.41303547667018 2
2 56.2039469540687 2.02521992171637 2.87518268625568 97.6628637270464 102
2 12.6099267783323 3.04853393696249 0.627260743119114 2.27560702430514 1
1 17.4258985209068 1.64853137917817 0.926245972017943 1.42924865268969 1
2 17.2577815155539 0.902828285470605 1.00270052341299 0.258680329681202 0
1 19.8016145055679 1.28578354646991 1.03294017682739 11.9659427285975 9
2 45.4337350242712 1.25037399595271 2.38832848481671 8.71905526315298 7
1 35.3908767346546 0.663236377295107 1.7916517159759 36.1152955803381 39
2 24.8521684036663 0.0857996862648127 1.43688844109899 5.50175876564408 6
1 22.3987037114823 7.59545222877438 1.37311692653326 0.935620306453679 2
2 10.7869695709519 6.11204243709749 0.331878982741094 1.46153335449871 1
2 9.45002228117561 3.33255085395649 0.450331057128348 0.216597375128939 0
2 37.7701323132068 5.54264215265817 1.71899713881646 15.5296133284935 17
2 54.9925887106523 1.08717021066695 2.87715142148815 241.828446433994 242
2 24.3908902392635 4.46130153318009 1.12212440975117 4.18878627354452 4
1 86.0220059650492 7.68914890433562 4.55740526173032 570.105677001529 575
2 51.5567794126759 3.26742391800508 2.56001070943346 17.5544877240218 17
1 15.4830795845169 3.62541871123253 0.895001269600265 1.55552297677854 4
2 57.0983765519121 2.62035295832902 2.88022863037367 12.5092546623011 13
