"id" "strain" "genotype" "response"
693947 "A1b/102V" "A9" 5.22156205024173
957931 "A1b/102V" "C30" 17.7847769890866
494694 "A1b/116I" "A9" 22.1785455955657
48000 "A1b/116I" "E15" 18.1186407445893
332703 "A1b/116I" "A9" 11.0681651348622
813810 "A1b/146W" "C30" 22.5619064867356
762105 "A1b/102V" "C30" 10.6588367842145
531909 "A1b/145S" "A9" 19.453674034433
564836 "A1b/102V" "C30" 27.1433870678632
342654 "A1b/102V" "A9" 12.8454305755941
610118 "A1b/105Q" "C30" 21.4323929365646
771175 "A1b/102V" "C30" 16.852788765834
691426 "A1b/134C" "A9" 18.1640095071582
660014 "A1b/135B" "C30" 16.608311440322
60220 "A1b/102V" "A9" 10.5978432713205
404354 "A1b/102V" "C30" 21.9669729701384
603725 "A1b/102V" "E15" 25.2117468496706
972674 "A1b/131R" "A9" 27.423862724918
614297 "A1b/102V" "C30" 11.2910769614038
517722 "A1b/140L" "A9" 11.8709832905609
710352 "A1b/172D" "E15" 25.0384375504467
232646 "A1b/135B" "E15" 17.0240685655213
241289 "A1b/111G" "C30" 16.4409796974713
410505 "A1b/105Q" "A9" 12.6228173637259
860221 "A1b/105Q" "E15" 14.1921360433569
621408 "A1b/134C" "E15" 17.9633990759655
749024 "A1b/154P" "E15" 18.6401374453522
849293 "A1b/134C" "C30" 19.5059172044715
514681 "A1b/134C" "C30" 24.9183710270372
844434 "A1b/111G" "E15" 33.5673157403897
820922 "A1b/102V" "A9" 27.8987645904671
461682 "A1b/149A" "A9" 18.8098403756768
148396 "A1b/145S" "A9" 17.517198313118
455199 "A1b/134C" "A9" 22.2489624271016
304296 "A1b/152K" "E15" 24.3743612307565
257569 "A1b/148H" "A9" 21.6106942853198
23864 "A1b/131R" "C30" 14.9186829999827
189494 "A1b/154P" "C30" 22.029672995305
132482 "A1b/195F" "A9" 19.3865356760845
893089 "A1b/102V" "C30" 9.44304668827962
468528 "A1b/102V" "E15" 11.4634567332527
351256 "A1b/105Q" "C30" 31.4521426395461
184533 "A1b/154P" "E15" 32.5636252646695
88789 "A1b/102V" "A9" 33.3690780505981
591296 "A1b/127O" "C30" 8.74523446590738
883826 "A1b/102V" "C30" 23.2068889848272
995316 "A1b/102V" "C30" 31.3620625211062
203409 "A1b/146W" "A9" 37.9762885864583
729679 "A1b/102V" "A9" 15.0016980555391
713429 "A1b/162Y" "C30" 7.52609785753226
787416 "A1b/162Y" "A9" 22.8157860225174
584843 "A1b/146W" "E15" 34.9830874847532
859297 "A1b/145S" "E15" 26.4568415493031
905970 "A1b/145S" "E15" 24.2226770352384
561847 "A1b/195F" "C30" 4.41596716090483
224846 "A1b/111G" "C30" 16.9966819883948
731807 "A1b/131R" "E15" 25.1174198666126
295662 "A1b/102V" "C30" 19.1752353688241
259604 "A1b/105Q" "C30" 10.4792982450424
576219 "A1b/127O" "C30" 2.49258754793899
840523 "A1b/111G" "E15" 31.5212731610515
702584 "A1b/105Q" "A9" 27.7254479598486
408909 "A1b/102V" "A9" 20.4694138904164
913184 "A1b/102V" "E15" 23.7574206259335
280578 "A1b/102V" "A9" 4.91045628081454
156454 "A1b/105Q" "C30" 15.7070374310658
899034 "A1b/105Q" "E15" 23.737247351225
146785 "A1b/102V" "C30" 20.7257063658519
12218 "A1b/148H" "E15" 27.1408931332148
233830 "A1b/149A" "E15" 5.81911684125411
577824 "A1b/135B" "E15" 39.8297409636778
219639 "A1b/111G" "C30" 19.6130428196677
373113 "A1b/116I" "A9" 24.7583626070683
550937 "A1b/149A" "A9" 1.89235844276845
503979 "A1b/200M" "E15" 13.4659988563132
270482 "A1b/102V" "A9" 11.8422854667726
227840 "A1b/102V" "A9" 20.6511230070517
866895 "A1b/111G" "A9" 18.8282373925087
843720 "A1b/127O" "E15" 20.9131301048382
67995 "A1b/127O" "E15" 8.07216286717399
561621 "A1b/148H" "E15" 16.9821004949851
725812 "A1b/102V" "A9" 13.8728955225524
