"R" "Z"
1.58313512981315 129
0.751737122118965 7
1.08179211274555 32
0.924532848513932 5
0.927423312019409 22
0.79659887411819 8
1.30795417157512 154
1.13273259415642 28
1.04697710391962 6
0.909487993221087 2
0.739854081744352 34
0.914316635923023 35
0.911620135285778 41
1.02894106751801 38
0.919380048725888 49
0.751417126229956 5
0.792515408833417 12
0.768061669456737 54
0.851483704642741 47
1.31099849328275 61
1.04082852793081 38
1.04170920701105 18
0.689918324007079 0
0.826073328886731 3
0.640033264392658 19
0.81632795858832 35
0.655571143846036 20
0.551605867390005 5
1.03515536554569 13
1.07785763752959 10
0.471784490772912 10
0.68047871417418 6
0.749026282636131 15
1.18099021451794 20
0.986752836331537 23
0.855890954987993 2
0.620260169267256 21
0.938992158942631 9
1.07889994037768 55
0.803857509710663 12
0.66354038147928 12
0.885070505929634 9
0.571283041341625 23
1.07586870079853 36
0.961988187763219 13
1.29786372070213 52
1.05025488085645 38
1.3161268949318 45
0.792904406829212 34
1.17479551669964 33
0.946918468827459 33
0.910015624097046 49
0.676780411142975 7
0.708373453972368 13
0.537848047747464 19
0.887951617839131 19
0.73061735380272 4
1.36505862971499 17
1.13906439052632 61
1.73979981010196 139
0.807353473124902 54
1.49237305379731 13
0.737964285506497 29
0.750526630711171 14
0.946264199649759 11
1.28546941488579 47
1.14772270243049 36
0.560018795966642 5
1.16291888328139 29
0.982698043836256 10
0.889003342255028 18
0.507278995801232 1
0.676491769875701 18
0.869569433230662 42
1.04326952341564 19
1.17177137471022 43
1.08064399672008 68
1.0702525954271 15
1.18382963893496 63
1.27988456626273 34
0.791621421006223 13
0.921953121658854 73
1.01803577386352 47
0.785368635909628 6
1.10314043592315 15
0.936024160622075 62
1.1648086503015 62
0.822921160406803 54
0.843960667849936 2
0.710070411320166 33
0.730086680496945 17
1.41362552759355 9
0.97445774641713 21
1.10786263303658 50
1.18015518967436 80
1.01141851336519 9
0.794288315399268 6
0.724081575880541 12
0.862013068584997 14
0.885955788343663 12
0.905261109295307 46
1.53282558474297 29
1.47779673769734 64
0.632249782183491 41
0.999791129552388 10
1.05302566808129 58
0.696632674132025 28
0.902737329627551 34
0.796546897656505 43
1.81829536270384 90
1.18882083555929 55
0.726800093189385 12
1.19054282960592 22
0.990516331228567 65
0.854929793395678 35
0.743039349657372 11
1.0911940527558 12
0.828071578040898 40
1.01118228493764 19
0.960787356228561 34
1.07979307652264 83
0.63768535447119 14
0.925215518163446 42
1.11137868282539 15
0.589723375483463 15
1.09174724269829 40
1.30410667399368 12
1.15076623008365 45
0.841971789692129 11
0.697787321518814 13
0.660751233884849 10
0.680235200713419 12
1.17844073508527 4
1.14766666867917 112
1.04260370616791 33
1.33245983304567 30
0.66726923052534 9
1.16376706665564 36
1.28981338746646 74
1.28243070491963 13
0.890946291356402 3
0.992478938693559 39
1.50195693402425 34
0.496436726469358 12
0.852998327517779 49
0.99181527708113 72
1.35767275553481 53
1.09494032016158 8
0.826576452917206 12
0.927116476989757 6
0.523035101353861 12
0.97557551738983 3
0.957269906168234 21
0.768313978994384 10
0.881341239109909 8
0.827479740566942 3
1.06677407300098 61
0.679349501545254 34
1.23631146067907 9
0.545603763905761 4
0.974484302843146 23
0.735709482795371 5
1.11162537438938 37
0.94733216812724 47
1.28194337631015 15
1.08821348192719 20
0.706950937680736 5
0.554697157900426 6
0.945703032414436 30
1.0704752477698 30
1.20526118056213 32
1.16821563419967 49
0.834614336426616 13
1.48553039931554 31
0.910063477184317 4
0.86531288363388 6
1.21620354278943 38
1.06336030434569 124
0.870132788033189 30
1.03629398153313 77
1.24065395055804 19
1.16896526292762 43
0.835821374683768 20
0.988175460938137 23
0.968316840190868 50
1.20856766348749 137
1.14701648722827 26
0.841563472255254 2
1.16839952444528 20
1.13315128769539 40
1.1309484634595 54
1.34847054925249 49
0.916213926183554 21
1.10622289915719 23
0.817470477372732 6
1.25100104399518 29
1.30674569196063 15
0.834314193632271 27
0.943803394411152 23
0.783772858485169 11
0.893160482919095 11
0.852490685976644 7
1.06586376340936 46
1.05034332208777 8
0.990171119832989 27
0.844567443582624 19
1.1671692956884 91
1.03122885792362 75
1.07974307413964 41
1.17044599618626 28
0.965754958460591 26
1.2705035989972 75
1.24452457349449 69
0.962470423145973 29
0.845585854819216 17
0.880699792562864 14
1.13427670842373 29
0.847191954864027 7
1.31213157631613 20
1.14171531390759 62
1.20515191089344 17
0.932469558943929 6
1.22722646396119 37
1.0220757639207 48
0.669795983407857 2
0.98328975826176 53
0.843051519614082 19
0.936984457254449 12
0.872304737861979 34
0.783150633476862 8
0.855786329667011 32
0.721800551992195 15
0.796028152488141 25
0.703791003942697 12
0.93960112578233 6
1.25794738786258 37
0.872936115914919 19
0.933548660188623 23
0.897545716029679 46
1.49914767158792 148
1.24179924439781 46
0.79377895079194 21
0.80511966981154 47
0.959500549705713 25
0.806176953468438 34
0.98990936504742 0
1.34489674504675 24
0.766540793278394 9
1.0769163803107 18
0.921954252667912 55
