Time,Day,Month,Year,WATER_TEMP_F
0:00,1,1,2010,48.2
1:00,1,1,2010,48.2
2:00,1,1,2010,NA
3:00,1,1,2010,47.8
4:00,1,1,2010,47.1
5:00,1,1,2010,47.5
6:00,1,1,2010,48.9
7:00,1,1,2010,48.9
8:00,1,1,2010,49.1
9:00,1,1,2010,49.1
10:00,1,1,2010,49.1
11:00,1,1,2010,49.1
12:00,1,1,2010,48.9
13:00,1,1,2010,48.9
14:00,1,1,2010,48.9
15:00,1,1,2010,48.9
16:00,1,1,2010,48.7
17:00,1,1,2010,49.1
18:00,1,1,2010,49.6
19:00,1,1,2010,49.8
20:00,1,1,2010,49.8
21:00,1,1,2010,49.8
22:00,1,1,2010,49.6
23:00,1,1,2010,49.6
0:00,2,1,2010,NA
1:00,2,1,2010,49.1
2:00,2,1,2010,48.2
3:00,2,1,2010,48
4:00,2,1,2010,47.3
5:00,2,1,2010,47.1
6:00,2,1,2010,NA
7:00,2,1,2010,49.6
8:00,2,1,2010,49.6
9:00,2,1,2010,49.6
10:00,2,1,2010,49.6
11:00,2,1,2010,NA
12:00,2,1,2010,49.6
13:00,2,1,2010,49.1
14:00,2,1,2010,48.7
15:00,2,1,2010,NA
16:00,2,1,2010,48.4
17:00,2,1,2010,48.6
18:00,2,1,2010,49.3
19:00,2,1,2010,49.8
20:00,2,1,2010,49.8
21:00,2,1,2010,49.8
22:00,2,1,2010,49.8
23:00,2,1,2010,49.5
0:00,3,1,2010,49.1
1:00,3,1,2010,48.9
2:00,3,1,2010,49.1
3:00,3,1,2010,48.2
4:00,3,1,2010,47.8
5:00,3,1,2010,47.7
6:00,3,1,2010,47.7
7:00,3,1,2010,49.5
8:00,3,1,2010,49.8
9:00,3,1,2010,49.8
10:00,3,1,2010,49.8
11:00,3,1,2010,49.8
12:00,3,1,2010,49.8
13:00,3,1,2010,49.6
14:00,3,1,2010,49.1
15:00,3,1,2010,49.3
16:00,3,1,2010,49.3
17:00,3,1,2010,48.4
18:00,3,1,2010,49.1
19:00,3,1,2010,49.6
20:00,3,1,2010,49.8
21:00,3,1,2010,49.8
22:00,3,1,2010,49.8
23:00,3,1,2010,49.8
0:00,4,1,2010,49.6
1:00,4,1,2010,49.5
2:00,4,1,2010,49.5
3:00,4,1,2010,49.1
4:00,4,1,2010,49.1
5:00,4,1,2010,48.7
6:00,4,1,2010,48.2
7:00,4,1,2010,48.4
8:00,4,1,2010,49.6
9:00,4,1,2010,NA
10:00,4,1,2010,49.6
11:00,4,1,2010,NA
12:00,4,1,2010,49.6
13:00,4,1,2010,49.6
14:00,4,1,2010,49.6
15:00,4,1,2010,49.3
16:00,4,1,2010,49.3
17:00,4,1,2010,49.3
18:00,4,1,2010,48.9
19:00,4,1,2010,49.1
20:00,4,1,2010,49.5
21:00,4,1,2010,49.8
22:00,4,1,2010,49.8
23:00,4,1,2010,49.8
0:00,5,1,2010,49.8
1:00,5,1,2010,49.8
2:00,5,1,2010,NA
3:00,5,1,2010,49.6
4:00,5,1,2010,49.6
5:00,5,1,2010,49.6
6:00,5,1,2010,49.5
7:00,5,1,2010,48.9
8:00,5,1,2010,49.5
9:00,5,1,2010,50
10:00,5,1,2010,50
11:00,5,1,2010,50
12:00,5,1,2010,50
13:00,5,1,2010,50
14:00,5,1,2010,50
15:00,5,1,2010,50
16:00,5,1,2010,50
17:00,5,1,2010,50
18:00,5,1,2010,49.8
19:00,5,1,2010,49.8
20:00,5,1,2010,49.8
21:00,5,1,2010,50
22:00,5,1,2010,50.2
23:00,5,1,2010,50.2
0:00,6,1,2010,50.2
1:00,6,1,2010,50.4
2:00,6,1,2010,50.5
3:00,6,1,2010,50.2
4:00,6,1,2010,50.4
5:00,6,1,2010,50.4
6:00,6,1,2010,50.4
7:00,6,1,2010,50
8:00,6,1,2010,50
9:00,6,1,2010,50.2
10:00,6,1,2010,50.4
11:00,6,1,2010,50.4
12:00,6,1,2010,NA
13:00,6,1,2010,50.4
14:00,6,1,2010,50.4
15:00,6,1,2010,50.4
16:00,6,1,2010,50.4
17:00,6,1,2010,50.4
18:00,6,1,2010,50.4
19:00,6,1,2010,50.4
20:00,6,1,2010,50.4
21:00,6,1,2010,50.2
22:00,6,1,2010,NA
23:00,6,1,2010,50.2
0:00,7,1,2010,50.2
1:00,7,1,2010,50.2
2:00,7,1,2010,50.2
3:00,7,1,2010,50.2
4:00,7,1,2010,50.2
5:00,7,1,2010,50.2
6:00,7,1,2010,49.5
7:00,7,1,2010,49.5
8:00,7,1,2010,49.5
9:00,7,1,2010,49.6
10:00,7,1,2010,50.2
11:00,7,1,2010,50
12:00,7,1,2010,49.8
13:00,7,1,2010,NA
14:00,7,1,2010,49.8
15:00,7,1,2010,49.8
16:00,7,1,2010,49.6
17:00,7,1,2010,NA
18:00,7,1,2010,49.5
19:00,7,1,2010,49.1
20:00,7,1,2010,NA
21:00,7,1,2010,48.7
22:00,7,1,2010,48.6
23:00,7,1,2010,49.1
0:00,8,1,2010,49.6
1:00,8,1,2010,49.8
2:00,8,1,2010,49.8
3:00,8,1,2010,49.8
4:00,8,1,2010,49.8
5:00,8,1,2010,49.6
6:00,8,1,2010,49.5
7:00,8,1,2010,49.5
8:00,8,1,2010,49.3
9:00,8,1,2010,49.1
10:00,8,1,2010,49.5
11:00,8,1,2010,49.8
12:00,8,1,2010,49.8
13:00,8,1,2010,49.8
14:00,8,1,2010,50
15:00,8,1,2010,50
16:00,8,1,2010,49.8
17:00,8,1,2010,49.6
18:00,8,1,2010,49.3
19:00,8,1,2010,49.5
20:00,8,1,2010,49.3
21:00,8,1,2010,49.1
22:00,8,1,2010,48.9
23:00,8,1,2010,48.6
0:00,9,1,2010,48.7
1:00,9,1,2010,49.5
2:00,9,1,2010,49.8
3:00,9,1,2010,50
4:00,9,1,2010,50
5:00,9,1,2010,50
6:00,9,1,2010,50
7:00,9,1,2010,49.6
8:00,9,1,2010,49.8
9:00,9,1,2010,49.6
10:00,9,1,2010,49.5
11:00,9,1,2010,49.6
12:00,9,1,2010,50
13:00,9,1,2010,50.2
14:00,9,1,2010,50.5
15:00,9,1,2010,50.5
16:00,9,1,2010,50.5
17:00,9,1,2010,50.4
18:00,9,1,2010,50.4
19:00,9,1,2010,50.2
20:00,9,1,2010,50.2
21:00,9,1,2010,50
22:00,9,1,2010,49.8
23:00,9,1,2010,49.6
0:00,10,1,2010,49.5
1:00,10,1,2010,49.5
2:00,10,1,2010,49.8
3:00,10,1,2010,50.4
4:00,10,1,2010,50.5
5:00,10,1,2010,50.5
6:00,10,1,2010,50.5
7:00,10,1,2010,50.5
8:00,10,1,2010,50.4
