"genotype" "age" "exposure" "y" "mu" "counts"
1 11.9618865121414 24.7839998532285 3.07649431092991 14.1063768910567 17
2 8.6996803225755 2.49857797054574 2.1851262190742 6.96452384106361 12
2 13.0445828006625 0.658244115766138 2.58640472845651 2.33472899101514 5
1 16.1931235361793 2.52690761582926 1.06234693839189 5.45863272352614 3
2 5.43860777072098 23.3953874731872 -0.0676083587826724 1.57629113450072 1
1 14.2613639040589 8.28207038910205 1.54127523411315 4.86919578897999 2
1 8.74501615585183 0.446364357510495 0.481887243543641 1.87257156160421 2
1 10.0070210840592 0.121623236007402 0.512513377803702 1.98326550278721 3
1 7.50608339442433 4.86929513315779 0.862233683036995 4.16768646227024 5
2 13.9094597293691 11.0877832415331 1.58669466231514 2.60239476071296 2
2 7.149614271341 1.68569492826149 2.1889112207409 8.25279444703559 7
1 9.11033785081768 14.3303115638397 1.88854804892486 7.38449963579487 5
1 6.61727655621431 8.42574514406633 1.17343834221735 3.00134888126371 2
1 7.46572133697711 3.83481809848404 0.75676787669726 9.09471658270076 16
1 12.7649189479839 6.67099588063961 1.30534553546316 2.68895145909161 2
2 17.6590598676014 1.25371159752831 2.75758183362724 12.7516179498162 14
2 7.48722683728134 1.78694389105117 2.19566695275895 2.19915778324278 6
1 6.71125890930208 12.1620277402209 1.55176571948719 5.50826835986214 6
2 8.2446642526957 0.0561805708071504 2.40661515555407 15.9949693038895 18
2 10.9709536824505 8.46687063532782 1.70186062058974 14.7899808723323 14
1 13.1125426922867 14.3663071808126 2.09225785269559 5.573038631286 6
2 13.3332693344311 1.90348533680663 2.47631493304089 8.78126785231144 7
1 9.73996929605046 5.7924314120506 1.06624160600758 4.60235220670396 8
2 15.2112959643597 3.52343204875893 2.40822159334209 27.3997442235734 19
2 5.14264977998357 0.789339346811175 2.17819855431806 4.25692722447566 6
2 6.81080317064296 8.10856441802498 1.52968371672965 9.21667197181209 7
1 11.792844953785 0.590925184066787 0.64873476609593 1.58937331733351 0
2 6.56001117270345 11.546378266105 1.17336273202467 1.77826751913296 2
